ApprovalRequest,2023-06-27
ApprovalRequestItem,2023-06-27
Campaign,2023-06-27
CampaignType,2023-06-27
Communication,2023-06-27
CommunicationMailing,2023-06-27
Config,2023-06-27
ConfigHistory,2023-06-27
ContactType,2023-06-27
Container,2023-06-27
Dataset,2023-06-27
DatasetColumn,2023-06-27
Datasource,2023-06-27
DeadMessages,2023-06-27
DeadMessages2,2023-06-27
DeliveryStatus,2023-06-27
Emoji,2023-06-27
Folder,2023-06-27
FolderContact,2023-06-27
FolderMessage,2023-06-27
Global,2023-06-27
Log,2023-06-27
MessageContact,2023-06-27
MessageContactType,2023-06-27
MessagePart,2023-06-27
MessageStatusQueue,2023-06-27
MessageType,2023-06-27
Package,2023-06-27
Parameter,2023-06-27
Rule,2023-06-27
Template,2023-06-27
TemplateRule,2023-06-27
TemplateType,2023-06-27
TempMessage,2023-06-27
User,2023-06-27
WebHook,2023-06-27
DatasetCell,2023-07-17
DatasetRow,2023-07-17
MessageContactV2,2023-07-17
PackageTemplate,2023-07-17
MessageDeliveryStatus,2023-07-25
MessagePartV2,2023-08-03
Message,2023-08-03
DatasetValue,2023-08-13
