table_name|sql|has_date_entered|key_column
LD_InsuranceEnrollment_HIST|COPY_LD_INSURANCEENROLLMENT.sql|True|NULL
LD_LoanFunding_HIST|COPY_LD_LOANFUNDING.sql|True|NULL
LD_PresentmentRequest_HIST|COPY_LD_PRESENTMENTREQUEST.sql|True|NULL
LD_OpenEndLoanStatement_HIST|COPY_LD_OPENENDLOANSTATEMENT.sql|True|NULL
LD_TransDetail_HIST|NULL|True|NULL
LD_OpenEndInterest_HIST|NULL|True|NULL
LD_MPayInterest_HIST|NULL|True|NULL
LD_Presentment_HIST|NULL|True|NULL
LD_CustomerIncome_HIST|NULL|True|NULL
LD_RBCEFundBatch_HIST|NULL|True|NULL
LD_PromiseToPay_HIST|NULL|True|NULL
LD_BalSheet2_HIST|NULL|True|NULL
LD_EndOfDayRpt_HIST|NULL|True|NULL
LD_CreditCardResultCode_HIST|NULL|True|NULL
LD_LoanProductConfig_HIST|NULL|True|NULL
LD_LoanProduct_HIST|NULL|True|NULL
LD_LoanPayment_HIST|NULL|True|NULL
LD_LoanApplication_HIST|NULL|True|NULL
LD_SPayInterest_HIST|NULL|True|NULL
LD_Customer_HIST|NULL|True|NULL
LD_CustomerAddress_HIST|NULL|True|NULL
LD_CreditCardAttempts_HIST|NULL|True|NULL
LD_CreditCardTrans_HIST|NULL|True|NULL
LD_ACH_History_HIST|NULL|True|NULL
LD_Company_HIST|NULL|False|NULL
LD_Loan_HIST|NULL|False|NULL
LD_LoanIncome_HIST|NULL|False|NULL
LD_PromiseToPayDetail_HIST|NULL|False|NULL
LD_OpenEndLoan_HIST|NULL|False|NULL
LD_RISREPT_HIST|NULL|False|NULL
LD_ACH_Sent_HIST|NULL|False|NULL
LD_MPayLoan_HIST|NULL|False|NULL
LD_Transcode_HIST|NULL|False|NULL
LD_CapsSkipReason_HIST|NULL|False|NULL
LD_LoanProductFinancialGroup_HIST|NULL|False|NULL
LD_LoanFundingStatus_HIST|NULL|False|NULL
LD_PresentmentType_HIST|NULL|False|NULL
LD_District_HIST|NULL|False|NULL
LD_Region_HIST|NULL|False|NULL
LD_Currency_HIST|NULL|False|NULL
LD_Markets_HIST|NULL|False|NULL
LD_LoanPaymentMPay_HIST|NULL|False|NULL
LD_MPayAmort_HIST|NULL|False|NULL
LD_RBCEFundBatchDetail_HIST|NULL|False|NULL
LD_PresentmentRequestACHHistoryXREF_HIST|NULL|False|NULL
LD_ACHBank_HIST|NULL|False|NULL
LD_CreditCardVendor_HIST|NULL|False|NULL
LD_OpenEndLoanStatementBalance_HIST|NULL|False|NULL
LD_BalSheet_TransDetail_HIST|NULL|False|TRANS_DETAIL_KEY
LD_LoanPaymentOpenEnd_HIST|NULL|False|LOAN_PAYMENT_OPEN_END_KEY
LD_TRANSDETAILACCT_HIST|NULL|False|TRANS_DETAIL_ACCT_KEY
LD_EndOfDayInventoryDetail_HIST|NULL|False|EODR_KEY
